SpatialDimValueCode,Period,FactValueNumeric_alcohol,FactValueNumeric
VUT,2017,1.54,21.09
GTM,2017,1.61,6.01
FSM,2017,1.58,28.68
TUN,2017,1.6,3.01
ETH,2017,1.67,9.63
MWI,2017,1.68,11.67
MMR,2017,1.74,3.1
SGP,2017,1.83,7.25
BHR,2017,1.52,6.73
GHA,2017,1.89,11.31
BRB,2017,10.05,0.32
HRV,2017,10.24,10.87
PRT,2017,10.22,7.86
ROU,2017,10.22,7.83
SVN,2017,10.21,14.29
POL,2017,10.54,11.06
ESP,2017,10.68,5.77
WSM,2017,1.89,14.75
PRY,2016,5.12,5.64
CPV,2016,5.29,16.53
NAM,2016,5.2,14.92
KGZ,2016,5.19,9.58
VEN,2016,4.57,2.29
BIH,2016,5.08,8.13
BEN,2016,4.76,13.27
PHL,2016,4.73,2.67
GUY,2016,5.33,39.65
COG,2016,5.33,12.29
TTO,2016,5.74,9.23
SUR,2016,5.44,25.47
DOM,2016,5.46,6.77
URY,2016,5.56,18.7
PER,2016,5.74,2.66
UKR,2016,5.71,17.56
TZA,2016,5.83,8.32
NOR,2016,6.0,11.08
AGO,2016,6.1,12.87
MDA,2016,6.1,13.42
STP,2016,4.47,2.16
CUB,2016,4.65,9.73
PRK,2016,3.47,9.24
MEX,2016,4.43,5.57
JAM,2016,3.34,2.18
HTI,2016,2.95,11.64
BOL,2016,3.1,7.43
BDI,2016,3.15,12.61
NGA,2016,3.05,7.22
TKM,2016,3.09,6.59
ECU,2016,3.24,9.06
GNB,2016,3.23,13.15
ZMB,2016,3.15,16.71
CRI,2016,3.25,7.29
VNM,2016,3.27,7.58
ALB,2016,4.38,4.17
PAN,2016,6.29,3.35
KAZ,2016,3.53,22.01
MLI,2016,3.66,8.29
KHM,2016,3.81,5.75
NIC,2016,3.78,4.59
MKD,2016,3.78,7.27
ARM,2016,3.96,4.43
CMR,2016,4.22,16.62
COL,2016,4.26,4.11
CHN,2016,6.16,6.99
BRB,2016,9.95,0.33
BLZ,2016,6.43,6.67
USA,2016,8.86,13.65
CAN,2016,8.1,10.37
ARG,2016,8.2,8.06
GRD,2016,8.2,0.91
NLD,2016,8.29,9.33
FIN,2016,8.44,13.26
MLT,2016,8.57,5.12
NZL,2016,8.92,11.52
MNE,2016,9.13,16.08
MNG,2016,7.92,19.82
DNK,2016,9.33,8.24
BHS,2016,9.4,3.49
LCA,2016,9.4,6.65
CHE,2016,9.35,9.76
GBR,2016,9.65,7.62
AUS,2016,9.65,10.92
BEL,2016,9.69,15.02
ROU,2016,9.72,7.76
BLR,2016,9.77,19.4
KOR,2016,8.03,20.49
CYP,2016,7.93,4.15
BWA,2016,6.55,22.9
GNQ,2016,7.13,14.97
JPN,2016,6.51,13.75
BRA,2016,6.59,5.67
CHL,2016,6.66,9.18
SWZ,2016,6.77,46.24
GRC,2016,6.84,3.42
MUS,2016,6.83,7.58
GEO,2016,6.99,9.03
BFA,2016,7.1,15.16
SWE,2016,7.11,12.15
RUS,2016,7.67,26.89
THA,2016,7.09,7.59
ITA,2016,7.21,4.35
LAO,2016,7.21,6.18
UGA,2016,7.3,11.06
SRB,2016,7.31,10.58
ZAF,2016,7.38,25.31
GAB,2016,7.47,14.55
ISL,2016,7.63,12.26
VCT,2016,7.63,0.67
LBR,2016,2.87,7.62
IND,2016,2.92,12.6
ZWE,2016,2.71,28.7
MDG,2016,0.7,9.47
GIN,2016,0.35,12.79
KIR,2016,0.39,31.38
MAR,2016,0.39,7.41
TLS,2016,0.36,4.45
OMN,2016,0.45,4.52
DZA,2016,0.56,2.61
TCD,2016,0.62,13.68
MYS,2016,0.61,5.37
BRN,2016,0.66,2.38
NPL,2016,0.78,9.68
SEN,2016,0.29,11.53
ERI,2016,0.92,18.3
RWA,2016,0.95,9.73
SLB,2016,0.85,17.83
TJK,2016,0.9,5.38
QAT,2016,1.01,4.83
COD,2016,1.17,12.09
LBN,2016,1.21,2.78
MDV,2016,1.19,3.15
TON,2016,0.32,4.77
JOR,2016,0.32,1.86
TGO,2016,1.18,15.97
YEM,2016,0.02,6.98
FJI,2016,2.65,10.03
AFG,2016,0.011,6.01
BGD,2016,0.004,3.6
KWT,2016,0.0,2.45
LBY,2016,0.009,4.95
MRT,2016,0.0,5.36
SAU,2016,0.0,5.9
SOM,2016,0.0,14.83
SDN,2016,0.001,4.84
BTN,2016,0.059,5.05
DJI,2016,0.33,12.08
IDN,2016,0.078,2.58
IRN,2016,0.13,5.92
NER,2016,0.12,10.22
PAK,2016,0.056,10.02
COM,2016,0.16,8.72
EGY,2016,0.16,3.63
IRQ,2016,0.16,5.33
SLE,2016,0.19,10.83
SYR,2016,0.18,1.83
PNG,2016,1.23,3.64
AZE,2016,0.41,3.92
GMB,2016,1.27,9.94
DEU,2016,11.04,8.82
BGR,2016,11.08,6.57
IRL,2016,11.08,9.37
LUX,2016,11.4,7.55
AUT,2016,11.63,11.13
LVA,2016,11.57,17.15
FRA,2016,11.77,10.7
LTU,2016,12.25,26.21
CZE,2016,12.8,10.34
SYC,2016,14.17,7.64
EST,2016,15.14,12.49
ARE,2016,2.15,4.97
KEN,2016,2.29,10.45
ISR,2016,2.5,5.03
LSO,2016,2.48,107.1
HND,2016,2.57,2.66
LKA,2016,2.63,14.17
UZB,2016,2.59,9.21
TUR,2016,1.28,2.26
HUN,2016,11.0,13.34
SLV,2016,2.67,5.77
ESP,2016,10.67,5.54
CIV,2016,1.81,17.0
CAF,2016,1.46,25.25
ETH,2016,1.47,9.78
VUT,2016,1.53,21.0
BHR,2016,1.63,6.48
GTM,2016,1.62,6.21
FSM,2016,1.58,28.18
MMR,2016,1.6,3.33
TUN,2016,1.61,2.98
MWI,2016,1.72,12.25
MOZ,2016,1.36,23.4
WSM,2016,1.8,15.03
GHA,2016,1.95,11.74
SVK,2016,9.95,9.66
ATG,2016,10.13,0.49
HRV,2016,10.25,11.48
PRT,2016,10.32,7.38
POL,2016,10.48,11.37
SVN,2016,10.71,14.29
SGP,2016,1.82,7.3
STP,2015,5.04,2.18
SUR,2015,5.29,25.91
PRY,2015,5.09,5.85
NAM,2015,5.11,16.29
BEN,2015,4.92,13.38
CPV,2015,5.01,16.73
COG,2015,4.9,12.46
BIH,2015,4.89,8.33
GUY,2015,5.55,39.3
DOM,2015,5.37,6.84
TTO,2015,5.86,9.54
KGZ,2015,5.62,10.87
PER,2015,5.73,2.77
URY,2015,5.72,16.66
VEN,2015,5.65,2.37
NOR,2015,6.02,10.59
PAN,2015,6.24,2.95
MDA,2015,6.16,13.68
TZA,2015,6.23,8.23
BWA,2015,6.3,24.55
CUB,2015,4.59,10.36
PHL,2015,4.68,2.71
PRK,2015,3.51,9.47
CMR,2015,4.43,17.09
JAM,2015,3.25,2.17
IND,2015,2.98,12.92
BOL,2015,3.14,7.2
BDI,2015,3.14,12.75
GNB,2015,3.15,13.08
NGA,2015,3.08,7.31
TKM,2015,3.13,6.62
VNM,2015,3.08,7.61
ZMB,2015,3.13,17.26
CRI,2015,3.22,6.41
KHM,2015,3.42,5.75
COL,2015,4.27,4.04
UKR,2015,6.5,17.87
ECU,2015,3.55,8.88
KAZ,2015,3.52,23.42
MLI,2015,3.74,8.46
NIC,2015,3.67,4.47
MKD,2015,3.72,7.28
ARM,2015,4.05,4.7
MEX,2015,4.2,5.6
ALB,2015,4.29,4.23
CHN,2015,6.32,7.08
LBR,2015,2.82,7.71
BLZ,2015,6.64,6.87
MNG,2015,8.95,19.68
ARG,2015,8.16,8.1
NLD,2015,8.33,9.31
RUS,2015,8.33,27.87
MNE,2015,8.49,16.35
FIN,2015,8.56,12.15
USA,2015,8.82,12.86
NZL,2015,8.89,11.13
LCA,2015,9.24,7.89
MLT,2015,8.07,6.55
BHS,2015,9.38,3.42
DNK,2015,9.42,8.07
ROU,2015,9.5,9.06
CHE,2015,9.51,10.5
GBR,2015,9.52,7.81
ATG,2015,9.64,0.42
ESP,2015,9.61,5.64
BRB,2015,9.7,0.31
AUS,2015,9.79,11.81
KOR,2015,8.07,21.2
GRD,2015,8.11,0.62
SRB,2015,7.2,11.69
BRA,2015,6.79,5.6
SWZ,2015,6.75,49.19
MUS,2015,6.82,7.51
AGO,2015,6.86,13.27
GEO,2015,6.89,8.79
BFA,2015,7.03,15.44
GRC,2015,6.97,3.78
LAO,2015,7.04,6.2
THA,2015,6.95,7.15
SWE,2015,7.16,13.02
CAN,2015,8.1,11.16
ITA,2015,7.27,4.83
CHL,2015,7.4,9.17
ISL,2015,7.39,13.17
VCT,2015,7.45,3.31
ZAF,2015,7.45,25.55
UGA,2015,7.74,11.04
CYP,2015,7.95,4.17
GAB,2015,7.89,15.17
GNQ,2015,8.02,15.33
ZWE,2015,2.87,30.74
JPN,2015,6.47,14.89
HTI,2015,2.81,11.97
NPL,2015,0.7,9.83
KIR,2015,0.36,31.59
MAR,2015,0.39,7.63
OMN,2015,0.44,4.7
TLS,2015,0.37,4.38
DZA,2015,0.54,2.72
MYS,2015,0.57,5.22
BRN,2015,0.66,1.63
TCD,2015,0.66,13.97
MDG,2015,0.7,9.53
SLB,2015,0.75,17.94
DJI,2015,0.36,11.89
ERI,2015,0.95,18.69
TJK,2015,0.88,5.19
QAT,2015,1.01,4.85
RWA,2015,0.96,9.89
LBN,2015,1.22,2.87
MDV,2015,1.23,2.95
PNG,2015,1.22,3.65
TGO,2015,1.24,16.69
COD,2015,1.26,12.27
GIN,2015,0.35,12.99
AZE,2015,0.39,3.99
MOZ,2015,1.27,23.97
IDN,2015,0.08,2.57
BGD,2015,0.004,3.64
KWT,2015,0.0,2.4
LBY,2015,0.01,5.48
MRT,2015,0.0,5.33
SAU,2015,0.0,5.95
SOM,2015,0.0,15.03
YEM,2015,0.026,6.8
BTN,2015,0.11,5.16
COM,2015,0.14,8.8
IRN,2015,0.07,5.96
TON,2015,0.29,5.3
NER,2015,0.13,10.39
PAK,2015,0.054,9.96
SDN,2015,0.12,4.89
EGY,2015,0.18,3.72
IRQ,2015,0.16,5.4
SLE,2015,0.22,10.53
SYR,2015,0.2,1.95
JOR,2015,0.34,1.85
SEN,2015,0.28,11.81
ETH,2015,1.32,9.98
FJI,2015,2.65,10.01
TUR,2015,1.31,2.26
GHA,2015,2.1,12.02
SVN,2015,10.97,14.75
HUN,2015,11.05,14.6
LUX,2015,11.45,9.57
AUT,2015,11.9,11.39
FRA,2015,11.89,11.48
CZE,2015,12.81,10.49
SYC,2015,13.3,7.65
EST,2015,16.54,13.36
ARE,2015,2.09,5.25
DEU,2015,11.01,9.0
KEN,2015,2.22,10.64
LSO,2015,2.4,114.5
SLV,2015,2.55,6.78
HND,2015,2.48,4.57
ISR,2015,2.48,4.45
UZB,2015,2.5,9.2
LKA,2015,2.59,14.7
AFG,2015,0.007,5.99
IRL,2015,10.99,8.71
LTU,2015,13.45,28.93
LVA,2015,10.9,17.14
BHR,2015,1.76,6.32
BGR,2015,10.86,6.77
MMR,2015,1.46,3.34
VUT,2015,1.48,21.18
GTM,2015,1.64,6.4
FSM,2015,1.55,28.37
CIV,2015,1.74,17.71
GMB,2015,1.65,10.29
WSM,2015,1.72,14.94
TUN,2015,1.6,3.03
MWI,2015,1.84,12.59
HRV,2015,10.16,12.15
CAF,2015,1.4,26.31
POL,2015,10.44,13.15
PRT,2015,10.3,8.31
BLR,2015,10.27,19.55
SVK,2015,10.15,9.8
BEL,2015,10.12,14.41
SGP,2015,1.84,7.56
GUY,2014,5.68,39.52
PHL,2014,4.67,2.69
BIH,2014,4.77,8.2
NAM,2014,4.9,15.32
BEN,2014,5.23,13.65
PRY,2014,5.23,5.95
CMR,2014,5.25,17.94
SUR,2014,5.33,25.94
DOM,2014,5.36,6.59
STP,2014,5.56,2.24
BFA,2014,6.51,15.66
URY,2014,5.7,15.77
KGZ,2014,5.86,11.48
PER,2014,5.85,2.98
TTO,2014,5.9,9.83
NOR,2014,6.08,10.06
BWA,2014,6.22,25.35
CHN,2014,6.24,7.35
PAN,2014,6.29,4.15
TZA,2014,6.25,8.25
CUB,2014,4.52,10.23
CPV,2014,4.71,16.91
IND,2014,3.01,13.49
COG,2014,4.48,13.53
TKM,2014,3.16,7.11
MDA,2014,6.6,14.47
ZWE,2014,3.02,30.83
KHM,2014,3.07,5.8
CRI,2014,3.11,5.35
GNB,2014,3.07,14.13
NGA,2014,3.08,7.59
ZMB,2014,3.08,17.74
BOL,2014,3.17,7.04
JAM,2014,3.21,2.18
BDI,2014,3.28,13.14
ALB,2014,4.25,4.52
PRK,2014,3.52,9.13
KAZ,2014,3.59,24.23
MLI,2014,3.62,8.65
NIC,2014,3.58,4.95
ECU,2014,3.75,8.9
MKD,2014,3.72,7.43
MEX,2014,4.03,5.72
ARM,2014,4.06,4.63
COL,2014,4.23,3.69
JPN,2014,6.51,15.78
GAB,2014,7.95,15.39
VEN,2014,6.57,2.26
RUS,2014,8.98,29.37
NLD,2014,8.43,9.28
KOR,2014,8.36,22.42
MNE,2014,8.55,16.35
GNQ,2014,8.57,14.22
FIN,2014,8.78,13.65
ESP,2014,8.8,6.21
USA,2014,8.79,12.4
NZL,2014,8.93,10.59
LCA,2014,9.08,8.23
CAN,2014,8.13,10.86
BHS,2014,9.35,3.28
BRB,2014,9.32,0.32
ATG,2014,9.43,0.44
DNK,2014,9.4,9.09
GBR,2014,9.43,7.64
ROU,2014,9.53,8.97
